"id","doi","title","publication_year","language","type","is_paratext","is_retracted","topic","field","ca_institutions","funder_names","abstract"
"https://openalex.org/W1965131991","https://doi.org/10.1016/j.jpeds.2005.04.034","Home nocturnal hemodialysis in children",2005,"en","article",FALSE,FALSE,"Dialysis and Renal Disease Management","Medicine","SickKids Foundation; Hospital for Sick Children; University of Toronto","",""
"https://openalex.org/W1850537665","https://doi.org/10.1111/j.1471-0528.2012.03359.x","Low‐molecular‐weight heparin or warfarin for anticoagulation in pregnant women with mechanical heart valves: what are the risks? A retrospective observational study",2012,"en","article",FALSE,FALSE,"Cardiovascular Issues in Pregnancy","Medicine","St. Michael's Hospital","University of Bristol","Please cite this paper as: Basude S, Hein C, Curtis S, Clark A, Trinder J. Low‐molecular‐weight heparin or warfarin for anticoagulation in pregnant women with mechanical heart valves: what are the risks? A retrospective observational study. BJOG 2012;119:1008–1013. The management of anticoagulation in pregnant women with mechanical heart valves is complex. The maternal and fetal outcomes of 32 pregnancies in 15 women on three different anticoagulation regimens were compared. Anticoagulation with low‐molecular‐weight heparin ( n = 4), warfarin ( n = 22) and combination therapy ( n = 6) resulted in adverse maternal events in four (100%), three (50%) and three (14%) women, and resulted in fetal losses in one (25%), 17(77%) and three (50%) pregnancies, respectively. Whereas the rate of fetal loss in the warfarin group was high, all women in the LMWH and half of those in the combination group had serious adverse maternal events, including valve thrombosis, maternal death and postpartum haemorrhage."
"https://openalex.org/W1981527414","https://doi.org/10.1074/jbc.m800913200","Nck Adapters Are Involved in the Formation of Dorsal Ruffles, Cell Migration, and Rho Signaling Downstream of the Platelet-derived Growth Factor β Receptor",2008,"en","article",FALSE,FALSE,"Proteoglycans and glycosaminoglycans research","Biochemistry, Genetics and Molecular Biology","Lunenfeld-Tanenbaum Research Institute; Mount Sinai Hospital","","The SH3 and SH2 domain-containing adapter proteins Nck1 and Nck2 are known to function downstream of activated tyrosine kinase receptors, such as the platelet-derived growth factor (PDGF) receptors. The SH2 domain of Nck1 binds to phosphorylated tyrosine residue 751 in PDGFbeta receptor and has been suggested to have a role in the PDGF-induced mobilization of the actin filament system. Because Tyr-751 is a site for additional receptor interactors, it has been difficult to discriminate the signaling from Nck from signaling via other molecules. For this reason we have used mouse embryonic fibroblasts derived from mice in which the genes for Nck1 and Nck2 have been inactivated by gene targeting (knock-out (KO) cells). The mutant cells had a reduced ability to form edge ruffles in response to PDGF, and the presence of Nck was obligatory for the formation of dorsal ruffles. In addition, the KO cells had a reduced chemotactic and migratory potential. Importantly, KO cells had reduced cell attachment properties and a reduced ability to form focal adhesions in response to serum stimulation. Moreover, signaling involving the Rho GTPases was defective in KO cells. In summary, our observations suggest that the Nck adapters are needed for signaling to Rho GTPases and actin dynamics downstream of the PDGFbeta receptor."
"https://openalex.org/W1965452554","https://doi.org/10.1006/jmcc.2000.1100","Distant Upstream Regulatory Domains Direct High Levels of β -myosin Heavy Chain Gene Expression in Differentiated Embryonic Stem Cells",2000,"en","article",FALSE,FALSE,"RNA Research and Splicing","Biochemistry, Genetics and Molecular Biology","Université de Montréal; Montreal Heart Institute","",""
"https://openalex.org/W1975530543","https://doi.org/10.1016/j.clml.2012.05.005","A Phase I Study of the Metal Ionophore Clioquinol in Patients With Advanced Hematologic Malignancies",2012,"en","article",FALSE,FALSE,"Ubiquitin and proteasome pathways","Biochemistry, Genetics and Molecular Biology","Princess Margaret Cancer Centre; Ontario Institute for Cancer Research","",""
"https://openalex.org/W1971307973","https://doi.org/10.1097/01.rvi.0000173282.14018.79","Pain after Percutaneous Liver Biopsy for Diffuse Hepatic Disease: A Randomized Trial Comparing Subcostal and Intercostal Approaches",2005,"en","article",FALSE,FALSE,"Liver Disease and Transplantation","Medicine","University of Toronto","",""
"https://openalex.org/W1981038596","https://doi.org/10.1038/ismej.2009.134","Hydrography shapes bacterial biogeography of the deep Arctic Ocean",2009,"en","article",FALSE,FALSE,"Microbial Community Ecology and Physiology","Environmental Science","Université Laval","Fisheries and Oceans Canada; Natural Sciences and Engineering Research Council of Canada; ArcticNet; W. M. Keck Foundation","It has been long debated as to whether marine microorganisms have a ubiquitous distribution or patterns of biogeography, but recently a consensus for the existence of microbial biogeography is emerging. However, the factors controlling the distribution of marine bacteria remain poorly understood. In this study, we combine pyrosequencing and traditional Sanger sequencing of the 16S rRNA gene to describe in detail bacterial communities from the deep Arctic Ocean. We targeted three separate water masses, from three oceanic basins and show that bacteria in the Arctic Ocean have a biogeography. The biogeographical distribution of bacteria was explained by the hydrography of the Arctic Ocean and subsequent circulation of its water masses. Overall, this first taxonomic description of deep Arctic bacteria communities revealed an abundant presence of SAR11 (Alphaproteobacteria), SAR406, SAR202 (Chloroflexi) and SAR324 (Deltaproteobacteria) clusters. Within each cluster, the abundance of specific phylotypes significantly varied among water masses. Water masses probably act as physical barriers limiting the dispersal and controlling the diversity of bacteria in the ocean. Consequently, marine microbial biogeography involves more than geographical distances, as it is also dynamically associated with oceanic processes. Our ocean scale study suggests that it is essential to consider the coupling between microbial and physical oceanography to fully understand the diversity and function of m"
"https://openalex.org/W1968906923","https://doi.org/10.1067/mpa.2002.126493","Minimal myopic shift in pseudophakic versus aphakic pediatric cataract patients",2002,"en","article",FALSE,FALSE,"Intraocular Surgery and Lenses","Medicine","McGill University; Kellogg's (Canada)","",""
"https://openalex.org/W1969593814","https://doi.org/10.1074/jbc.m112.393181","Biochemical Analysis of Hypermutation by the Deoxycytidine Deaminase APOBEC3A",2012,"en","article",FALSE,FALSE,"HIV Research and Treatment","Immunology and Microbiology","University of Saskatchewan","National Center for Research Resources; National Institute of Allergy and Infectious Diseases; National Institutes of Health","APOBEC3A belongs to a family of single-stranded DNA (ssDNA) DNA cytosine deaminases that are known for restriction of HIV through deamination-induced mutational inactivation, e.g. APOBEC3G, or initiation of somatic hypermutation and class switch recombination (activation-induced cytidine deaminase). APOBEC3A, which is localized to both the cytoplasm and nucleus, not only restricts HIV but can also initiate catabolism of cellular DNA. Despite being ascribed these roles, there is a paucity of data available on the biochemical mechanism by which APOBEC3A deaminates ssDNA. Here we assessed APOBEC3A deamination activity on ssDNA and in dynamic systems modeling HIV replication (cytoplasmic event) and DNA transcription (nuclear event). We find that APOBEC3A, unlike the highly processive APOBEC3G, exhibits low or no processivity when deaminating synthetic ssDNA substrates with two cytosines located 5-63 nucleotides apart, likely because of an apparent K(d) in the micromolar range (9.1 μm). APOBEC3A was able to deaminate nascently synthesized (-)DNA in an in vitro model HIV replication assay but induced fewer mutations overall in comparison to APOBEC3G. However, the data indicate that the target deamination motif (5'-TC for APOBEC3A and 5'-CC for APOBEC3G) and not the number of mutations best predicted the ability to mutationally inactivate HIV. We further assessed APOBEC3A for the ability to deaminate dsDNA undergoing transcription, which could allow for collateral deaminations to oc"
"https://openalex.org/W1893106947","https://doi.org/10.3233/wor-2012-1346","Physical effect of work on healthy individuals: Implications for FCE testing\m{1}",2012,"en","article",FALSE,FALSE,"Musculoskeletal pain and rehabilitation","Medicine","Arthritis Research Centre of Canada; University of British Columbia","","OBJECTIVE: The objective of this study was to assess the effect of time of day and job type on performance of three functional capacity evaluation measures in healthy (asymptomatic) adults. It was queried whether or not a healthy population of adults would demonstrate a change in physical performance ability, when re-tested at the end of their work day. SETTING: A convenience sample of 50 healthy adults (19-62 years, 66% male) was used from six work sites in an urban area. DESIGN: Same day pre-test and post-test testing was performed, implementing use of three commonly used functional capacity tests: Jamar dynamometer grip strength test, Turning sub-test of the Complete Minnesota Dexterity Test, and the 50-foot walk test. METHODS: The study compared morning and afternoon test scores, and using t-tests, assessed the effect of job type (sedentary, light, medium, heavy) on performance using ANOVA. RESULTS: All three measures improved from morning to afternoon; differences were statistically significant for 50-foot walk (mean=0.2 sec, p=0.02) and manual dexterity (mean=5 sec, p< 0.001). Job type had a significant effect on dexterity. CONCLUSIONS: Late day performance did not show any significant decline in this sample of healthy adults, and in fact tended to improve or stay relatively stable. Therefore, clinicians who perform functional capacity evaluations should consider alternative explanations for late-day functional declines observed in injured patients. These findings, comb"
